Product code,Bureau of Meteorology station number,Year,Month,Mean maximum temperature (°C),Quality
IDCJAC0002,008050,1911,07,20.3,Y
IDCJAC0002,008050,1911,08,19.9,Y
IDCJAC0002,008050,1911,09,21.3,Y
IDCJAC0002,008050,1911,10,24.6,Y
IDCJAC0002,008050,1911,11,23.9,Y
IDCJAC0002,008050,1911,12,24.1,Y
IDCJAC0002,008050,1912,01,27.2,Y
IDCJAC0002,008050,1912,02,29.8,Y
IDCJAC0002,008050,1912,03,26.8,Y
IDCJAC0002,008050,1912,04,26.8,Y
IDCJAC0002,008050,1912,05,22.7,Y
IDCJAC0002,008050,1912,06,22.3,Y
IDCJAC0002,008050,1912,07,19.9,Y
IDCJAC0002,008050,1912,08,21.4,Y
IDCJAC0002,008050,1912,09,20.5,Y
IDCJAC0002,008050,1912,10,22.2,Y
IDCJAC0002,008050,1912,11,26.5,Y
IDCJAC0002,008050,1912,12,27.1,Y
IDCJAC0002,008050,1913,01,28.8,Y
IDCJAC0002,008050,1913,02,29.8,Y
IDCJAC0002,008050,1913,03,28.5,Y
IDCJAC0002,008050,1913,04,26.0,Y
IDCJAC0002,008050,1913,05,26.1,Y
IDCJAC0002,008050,1913,06,22.7,Y
IDCJAC0002,008050,1913,07,20.4,Y
IDCJAC0002,008050,1913,08,19.9,Y
IDCJAC0002,008050,1913,09,22.7,Y
IDCJAC0002,008050,1913,10,22.5,Y
IDCJAC0002,008050,1913,11,24.7,Y
IDCJAC0002,008050,1913,12,25.3,Y
IDCJAC0002,008050,1914,01,29.4,Y
IDCJAC0002,008050,1914,02,28.5,Y
IDCJAC0002,008050,1914,03,28.1,Y
IDCJAC0002,008050,1914,04,23.9,Y
IDCJAC0002,008050,1914,05,22.5,Y
IDCJAC0002,008050,1914,06,21.8,Y
IDCJAC0002,008050,1914,07,19.8,Y
IDCJAC0002,008050,1914,08,22.9,Y
IDCJAC0002,008050,1914,09,24.8,Y
IDCJAC0002,008050,1914,10,25.0,Y
IDCJAC0002,008050,1914,11,25.1,Y
IDCJAC0002,008050,1914,12,27.3,Y
IDCJAC0002,008050,1915,01,30.2,Y
IDCJAC0002,008050,1915,02,29.0,Y
IDCJAC0002,008050,1915,03,28.9,Y
IDCJAC0002,008050,1915,04,28.2,Y
IDCJAC0002,008050,1915,05,24.4,Y
IDCJAC0002,008050,1915,06,21.9,Y
IDCJAC0002,008050,1915,07,20.3,Y
IDCJAC0002,008050,1915,08,20.8,Y
IDCJAC0002,008050,1915,09,19.9,Y
IDCJAC0002,008050,1915,10,22.5,Y
IDCJAC0002,008050,1915,11,27.8,Y
IDCJAC0002,008050,1915,12,30.4,Y
IDCJAC0002,008050,1916,01,26.9,Y
IDCJAC0002,008050,1916,02,28.1,Y
IDCJAC0002,008050,1916,03,26.9,Y
IDCJAC0002,008050,1916,04,28.6,Y
IDCJAC0002,008050,1916,05,23.5,Y
IDCJAC0002,008050,1916,06,20.0,Y
IDCJAC0002,008050,1916,07,19.1,Y
IDCJAC0002,008050,1916,08,19.8,Y
IDCJAC0002,008050,1916,09,24.1,Y
IDCJAC0002,008050,1916,10,22.6,Y
IDCJAC0002,008050,1916,11,26.4,Y
IDCJAC0002,008050,1916,12,28.5,Y
IDCJAC0002,008050,1917,01,29.2,Y
IDCJAC0002,008050,1917,02,30.6,Y
IDCJAC0002,008050,1917,03,26.0,Y
IDCJAC0002,008050,1917,04,26.8,Y
IDCJAC0002,008050,1917,05,22.2,Y
IDCJAC0002,008050,1917,06,20.7,Y
