Product code,Station Number,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
IDCJAC0002,009500,1946,22.0,21.3,21.4,21.5,19.1,16.4,15.8,16.7,18.6,19.1,19.8,21.9,19.5
IDCJAC0002,009500,1947,22.9,22.2,21.9,21.1,18.6,17.2,15.8,16.6,17.4,17.4,19.3,21.8,19.4
IDCJAC0002,009500,1948,23.8,23.8,23.7,20.6,20.1,17.3,15.9,17.4,17.6,18.5,19.7,21.0,19.9
IDCJAC0002,009500,1949,22.6,22.8,22.5,23.2,19.4,18.0,16.9,18.0,18.2,17.6,19.4,22.7,20.1
IDCJAC0002,009500,1950,23.4,23.5,23.3,23.1,18.7,17.5,16.5,16.7,17.4,18.1,20.0,21.8,20.0
IDCJAC0002,009500,1951,22.8,22.0,22.2,19.8,17.4,15.9,15.6,14.7,18.7,18.9,21.5,21.6,19.3
IDCJAC0002,009500,1952,23.0,22.5,23.3,20.3,17.5,17.2,15.3,16.7,16.6,18.2,20.1,21.3,19.3
IDCJAC0002,009500,1953,23.0,22.4,22.8,21.6,19.0,15.7,15.5,15.7,17.6,18.5,20.2,20.5,19.4
IDCJAC0002,009500,1954,23.5,22.6,22.0,19.9,18.2,16.5,16.1,16.2,18.3,19.4,20.7,23.0,19.7
IDCJAC0002,009500,1955,23.1,22.4,23.2,19.9,17.1,15.3,15.5,15.2,17.1,17.3,20.2,21.9,19.0
IDCJAC0002,009500,1956,25.4,23.6,23.7,19.4,17.5,14.7,14.9,14.7,17.2,17.6,20.9,22.5,19.3
IDCJAC0002,009500,1957,24.8,24.2,22.8,20.5,19.3,16.8,14.9,17.0,17.4,20.2,22.0,22.9,20.2
IDCJAC0002,009500,1958,25.2,24.0,23.1,22.1,18.6,16.9,14.3,16.4,15.6,17.9,21.9,21.7,19.8
IDCJAC0002,009500,1959,24.3,22.5,24.5,21.8,19.1,17.6,17.1,18.1,16.9,19.7,19.3,20.0,20.1
IDCJAC0002,009500,1960,21.8,22.8,20.7,18.5,17.3,16.2,14.1,15.5,17.1,19.7,19.3,22.0,18.8
IDCJAC0002,009500,1961,24.3,25.7,24.8,19.6,19.9,16.9,15.5,16.1,18.6,19.3,21.5,21.6,20.3
IDCJAC0002,009500,1962,23.3,23.4,22.6,22.1,19.2,17.8,16.5,17.1,17.2,17.9,21.7,22.2,20.1
IDCJAC0002,009500,1963,22.8,23.2,23.2,21.4,19.2,16.6,15.3,16.7,17.7,20.8,20.9,23.3,20.1
IDCJAC0002,009500,1964,23.0,22.5,23.4,19.6,18.7,17.5,15.3,15.7,16.6,17.0,20.0,20.4,19.1
IDCJAC0002,009500,1965,24.4,23.6,23.1,22.3,null,null,null,null,null,null,null,null,null
IDCJAC0002,009500,2002,null,null,null,null,null,null,null,null,17.5,19.0,20.2,21.3,null
IDCJAC0002,009500,2003,22.4,23.2,23.6,22.0,20.8,17.1,16.7,16.1,17.0,18.0,19.5,21.4,19.8
IDCJAC0002,009500,2004,21.0,23.1,21.8,21.7,19.0,17.4,16.1,15.8,17.4,18.8,20.4,22.7,19.6
IDCJAC0002,009500,2005,22.1,21.9,23.6,20.4,20.9,16.7,16.8,16.6,17.1,17.4,18.3,20.7,19.4
IDCJAC0002,009500,2006,20.5,21.7,21.9,18.6,19.0,17.4,17.0,19.2,18.1,18.8,21.2,21.8,19.6
IDCJAC0002,009500,2007,22.1,22.9,22.8,20.9,18.3,17.6,17.6,17.6,18.4,17.7,19.8,20.3,19.7
IDCJAC0002,009500,2008,21.8,22.8,21.9,21.3,19.9,17.9,15.6,16.6,17.9,18.4,18.6,20.7,19.5
IDCJAC0002,009500,2009,23.0,23.2,22.0,20.6,20.3,16.7,16.2,16.6,16.3,18.3,20.9,20.8,19.6
IDCJAC0002,009500,2010,23.0,23.1,23.2,20.7,18.8,17.2,16.6,16.6,17.2,19.8,21.6,20.3,19.8
IDCJAC0002,009500,2011,23.6,22.5,23.4,23.0,19.9,18.2,16.7,18.1,17.8,18.4,21.5,22.2,20.4
IDCJAC0002,009500,2012,23.8,23.1,23.9,23.0,19.9,17.5,17.2,17.7,18.4,21.5,21.2,22.3,20.8
IDCJAC0002,009500,2013,24.5,23.7,21.9,22.1,19.4,18.0,16.9,17.7,18.6,19.0,20.7,21.2,20.3
IDCJAC0002,009500,2014,23.8,22.5,22.4,21.4,19.3,18.1,16.7,18.6,19.4,19.2,21.0,20.9,20.3
IDCJAC0002,009500,2015,23.4,23.7,22.5,21.2,18.5,18.8,16.9,17.1,18.9,20.4,20.6,21.5,20.3
IDCJAC0002,009500,2016,22.7,23.4,22.6,20.6,18.6,16.7,16.2,16.1,15.9,18.0,20.6,20.8,19.4
IDCJAC0002,009500,2017,22.1,22.2,21.8,20.1,19.4,19.0,15.9,16.7,17.5,19.1,20.6,21.5,19.7
IDCJAC0002,009500,2018,22.4,23.0,22.4,21.2,20.7,17.4,17.0,16.2,17.0,19.0,18.7,21.1,19.7
IDCJAC0002,009500,2019,22.2,22.2,21.2,21.2,18.7,17.6,16.8,17.9,19.3,19.3,19.4,23.5,19.9
IDCJAC0002,009500,2020,22.2,23.4,23.1,21.2,19.6,18.9,17.3,16.9,18.1,19.4,20.5,21.1,20.1
IDCJAC0002,009500,2021,22.8,21.9,23.6,21.1,19.7,17.5,16.0,17.2,18.1,18.0,18.8,21.3,19.7
IDCJAC0002,009500,2022,22.4,23.6,22.6,21.4,19.0,17.6,17.2,15.9,null,null,null,null,null
