Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,009025,1933,10,119.5,Y
IDCJAC0001,009025,1933,11,5.6,Y
IDCJAC0001,009025,1933,12,0.0,Y
IDCJAC0001,009025,1934,01,9.4,Y
IDCJAC0001,009025,1934,02,0.0,Y
IDCJAC0001,009025,1934,03,144.8,Y
IDCJAC0001,009025,1934,04,24.7,Y
IDCJAC0001,009025,1934,05,118.8,Y
IDCJAC0001,009025,1934,06,230.5,Y
IDCJAC0001,009025,1934,07,167.2,Y
IDCJAC0001,009025,1934,08,141.2,Y
IDCJAC0001,009025,1934,09,95.1,Y
IDCJAC0001,009025,1934,10,23.7,Y
IDCJAC0001,009025,1934,11,24.9,Y
IDCJAC0001,009025,1934,12,2.5,Y
IDCJAC0001,009025,1935,01,8.7,Y
IDCJAC0001,009025,1935,02,2.5,Y
IDCJAC0001,009025,1935,03,3.1,Y
IDCJAC0001,009025,1935,04,50.4,Y
IDCJAC0001,009025,1935,05,100.2,Y
IDCJAC0001,009025,1935,06,86.1,Y
IDCJAC0001,009025,1935,07,216.5,Y
IDCJAC0001,009025,1935,08,86.7,Y
IDCJAC0001,009025,1935,09,64.5,Y
IDCJAC0001,009025,1935,10,34.3,Y
IDCJAC0001,009025,1935,11,6.4,Y
IDCJAC0001,009025,1935,12,0.0,Y
IDCJAC0001,009025,1936,01,0.0,Y
IDCJAC0001,009025,1936,02,0.0,Y
IDCJAC0001,009025,1936,03,0.0,Y
IDCJAC0001,009025,1936,04,32.3,Y
IDCJAC0001,009025,1936,05,119.3,Y
IDCJAC0001,009025,1936,06,235.3,Y
IDCJAC0001,009025,1936,07,132.1,Y
IDCJAC0001,009025,1936,08,194.9,Y
IDCJAC0001,009025,1936,09,47.9,Y
IDCJAC0001,009025,1936,10,24.9,Y
IDCJAC0001,009025,1936,11,2.5,Y
IDCJAC0001,009025,1939,06,267.1,Y
IDCJAC0001,009025,1939,07,291.7,Y
IDCJAC0001,009025,1939,08,175.5,Y
IDCJAC0001,009025,1939,09,10.9,Y
IDCJAC0001,009025,1939,10,79.6,Y
IDCJAC0001,009025,1939,11,15.5,Y
IDCJAC0001,009025,1939,12,5.3,Y
IDCJAC0001,009025,1940,01,15.5,Y
IDCJAC0001,009025,1940,02,2.3,Y
IDCJAC0001,009025,1940,03,3.3,Y
IDCJAC0001,009025,1940,04,5.6,Y
IDCJAC0001,009025,1940,05,56.0,Y
IDCJAC0001,009025,1940,06,110.8,Y
IDCJAC0001,009025,1940,07,75.4,Y
IDCJAC0001,009025,1940,08,68.0,Y
IDCJAC0001,009025,1940,09,75.9,Y
IDCJAC0001,009025,1940,10,52.4,Y
IDCJAC0001,009025,1940,11,4.0,Y
IDCJAC0001,009025,1940,12,14.3,Y
IDCJAC0001,009025,1941,01,0.0,Y
IDCJAC0001,009025,1941,02,1.6,Y
IDCJAC0001,009025,1941,03,14.5,Y
IDCJAC0001,009025,1941,04,91.2,Y
IDCJAC0001,009025,1941,05,84.3,Y
IDCJAC0001,009025,1941,06,188.9,Y
IDCJAC0001,009025,1941,07,184.5,Y
IDCJAC0001,009025,1941,08,111.1,Y
IDCJAC0001,009025,1941,09,99.5,Y
IDCJAC0001,009025,1941,10,44.5,Y
IDCJAC0001,009025,1941,11,21.7,Y
IDCJAC0001,009025,1941,12,4.8,Y
IDCJAC0001,009025,1942,01,0.0,Y
IDCJAC0001,009025,1942,02,1.3,Y
IDCJAC0001,009025,1942,03,70.2,Y
IDCJAC0001,009025,1942,04,83.3,Y
IDCJAC0001,009025,1942,05,129.6,Y
IDCJAC0001,009025,1942,06,209.8,Y
IDCJAC0001,009025,1942,07,152.3,Y
IDCJAC0001,009025,1942,08,172.7,Y
IDCJAC0001,009025,1942,09,120.5,Y
IDCJAC0001,009025,1942,10,50.4,Y
IDCJAC0001,009025,1942,11,3.8,Y
IDCJAC0001,009025,1942,12,32.9,Y
IDCJAC0001,009025,1943,01,22.6,Y
IDCJAC0001,009025,1943,02,14.5,Y
IDCJAC0001,009025,1943,03,59.9,Y
IDCJAC0001,009025,1943,04,41.6,Y
IDCJAC0001,009025,1943,05,56.0,Y
IDCJAC0001,009025,1943,06,140.3,Y
IDCJAC0001,009025,1943,07,193.4,Y
IDCJAC0001,009025,1943,08,134.1,Y
IDCJAC0001,009025,1943,09,99.6,Y
IDCJAC0001,009025,1943,10,11.5,Y
IDCJAC0001,009025,1943,11,3.0,Y
IDCJAC0001,009025,1943,12,0.0,Y
IDCJAC0001,009025,1944,01,6.1,Y
IDCJAC0001,009025,1944,02,0.0,Y
IDCJAC0001,009025,1944,03,2.0,Y
IDCJAC0001,009025,1944,04,33.7,Y
IDCJAC0001,009025,1944,05,115.0,Y
IDCJAC0001,009025,1944,06,84.6,Y
IDCJAC0001,009025,1944,07,173.0,Y
IDCJAC0001,009025,1944,08,110.6,Y
IDCJAC0001,009025,1944,09,44.0,Y
IDCJAC0001,009025,1944,10,15.9,Y
IDCJAC0001,009025,1944,11,20.3,Y
IDCJAC0001,009025,1944,12,41.6,Y
IDCJAC0001,009025,1945,01,1.8,Y
IDCJAC0001,009025,1945,02,1.3,Y
IDCJAC0001,009025,1945,03,10.4,Y
IDCJAC0001,009025,1945,04,4.8,Y
IDCJAC0001,009025,1945,05,102.0,Y
IDCJAC0001,009025,1945,06,433.9,Y
IDCJAC0001,009025,1945,07,123.3,Y
IDCJAC0001,009025,1945,08,245.6,Y
IDCJAC0001,009025,1945,09,97.3,Y
IDCJAC0001,009025,1945,10,14.4,Y
IDCJAC0001,009025,1945,11,26.5,Y
IDCJAC0001,009025,1945,12,14.5,Y
